clustering_id,method,unit_ids,cluster_ids,annotation
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c34949,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c2464,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37649,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c29512,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c15194,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c39115,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c27887,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c23152,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c10699,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c49999,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c28805,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36807,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11435,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c35366,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c3954,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c14619,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c5301,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11278,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30925,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c32054,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c7407,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c28574,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c23101,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c17874,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c34677,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c30305,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c31197,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c36865,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c50771,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c34715,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c20597,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c12489,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c11583,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c21711,2,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c37120,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c23764,1,Neutrophil
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c4437,0,CD8T
0d9729c5-3b53-4aba-94a3-fae4869b2799,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c9117,0,CD8T
